Filename,DecadePublished,YearPublished,Author,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
1887-Dewey.txt,1880,1887,Dewey,112915,86.83,52.62,33.28,61.85,21.41,25.68,85.21,55,10.91,2.83,0.13,1.24,0.02,0.61,0.83,8.08,10.04,16.34,8.42,3.79,6.71,1.4,12.54,5.49,3.21,1.97,1.12,2.79,3.89,2.82,0.92,0.17,0.12,0.28,5.35,0.02,0.08,0.01,0.82,17.43,5.57,2.42,1.29,3.04,2.83,4.4,4.06,0.88,0.49,1.74,2.02,1.17,0.54,0.02,0.3,5.51,2.13,1.17,1.48,0.8,0.26,1.68,8.82,1.13,10.21,1.37,5.76,3.03,1.72,0.34,0.04,0.19,0.27,0.04,0.14,0.01,0.01,0.06,0.06,0,12.77,4.71,7.23,0,0,0.03,0,0.27,0.13,0.12,0.28,0
1891-Ladd.txt,1890,1891,Ladd,139736,97.37,49.46,32.41,32.15,23.27,26.45,80.36,50.57,6.85,1.62,0.03,0.78,0,0.13,0.67,5.23,11.75,18.07,5.95,3.3,6.22,0.78,9.28,6.44,3.51,1.53,1.78,2.77,3.19,1.75,1.38,0.61,0.17,0.24,3.42,0.01,0.04,0.03,0.22,13.07,3.37,2.28,0.63,3.13,2.04,3.52,4.19,1.52,0.45,1.29,3.66,2.83,0.76,0.04,0.21,4.38,1.25,0.77,1.81,0.51,0.36,1.76,6.34,0.75,12.1,1.58,7.85,2.71,1.51,0.2,0.02,0.17,0.08,0.03,0.2,0.01,0.04,0.09,0.08,0,13.77,4.42,6.4,0,0,0.05,0.01,0,1.75,0.14,0.99,0.02
1892-Davis.txt,1890,1892,Davis,77195,83.98,39.39,41.78,60.17,19.32,27.36,82.7,53.6,9.45,3.09,0.96,1.07,0.01,0.24,0.8,6.36,10.11,14.66,8.49,4.13,7.66,1.63,11.68,5.22,2.62,1.23,1.2,2.19,4.76,3.22,1.41,0.38,0.27,0.3,4.05,0.02,0.06,0.03,0.29,18.59,5.91,2.37,1.24,3.56,3.01,5.22,3.75,1.01,0.49,1.01,2.14,1.13,0.72,0.07,0.26,5.31,1.53,1,1.87,0.85,0.38,1.39,8.89,0.91,9.14,1,5.12,2.93,1.36,0.33,0.03,0.17,0.2,0.06,0.12,0.01,0.01,0.07,0.04,0,15.71,5.05,9.09,0,0,0.21,0,0.42,0.24,0.33,0.36,0
1892-Jimmy.txt,1890,1892,Jimmy,144215,86.63,59.14,37.32,37.05,24.5,22.26,83.71,54.06,11.1,4.58,0.67,1.83,0.08,0.96,1.04,6.52,10.02,15.9,7.32,4.06,7.14,1.26,12.22,5.75,3.53,2.2,1.45,3.04,3.61,2.06,1.42,0.39,0.24,0.32,6.49,0.04,0.1,0.14,1.07,14.7,3.83,1.85,1.33,3.76,2.38,4.14,3.48,1.19,0.63,1.09,2.29,1.48,0.59,0.09,0.22,5.89,2.36,1.07,1.67,0.76,0.48,2.11,8.28,1.25,12.7,1.76,6.76,4.28,1.52,0.32,0.14,0.18,0.16,0.11,0.21,0.02,0.06,0.05,0.09,0,13.26,4.07,6.66,0,0,0.12,0.05,0.71,0.25,1.01,0.35,0.04
1893-Baldwin.txt,1890,1893,Baldwin,106480,93.46,54.53,45.72,41.48,22.82,27.79,83.88,52.28,9.01,2.95,0.54,1.35,0.01,0.28,0.77,6.06,10.51,17.16,7.07,3.68,6.34,0.89,11.38,6.66,3.32,1.75,1.1,2.28,4.14,2.38,1.51,0.46,0.15,0.3,4.68,0.02,0.1,0.03,0.37,15.52,5.49,2.5,0.95,3.34,2.03,3.47,4.15,1.2,0.5,1.5,2.52,1.31,1.01,0.04,0.23,5.85,2.02,1.24,1.83,0.69,0.43,1.87,8.13,1.01,12.1,1.54,6.96,3.57,1.92,0.35,0.04,0.14,0.25,0.05,0.12,0,0.02,0.04,0.06,0,12.03,4.41,6.68,0,0,0.11,0.01,0,0.37,0.22,0.23,0.01
1897-Scripture.txt,1890,1897,Scripture,108068,96.78,54.4,35.37,37.59,21.62,24.03,81.9,51.4,7.14,2.84,0.43,1.41,0.12,0.48,0.41,4.29,12.69,16.85,7.35,3.5,5.26,0.86,11.74,6.1,3.6,1.21,2.89,2.66,2.54,1.57,0.91,0.21,0.11,0.27,4.09,0.01,0.07,0.03,0.53,12.45,2.74,2.63,0.99,2.86,1.76,3.21,3.91,1.81,0.49,1.25,1.88,1.18,0.43,0.03,0.28,5.11,1.75,1.15,1.66,0.58,0.32,3.34,7.38,0.76,13.83,2.05,7.85,4.03,2.24,0.44,0.1,0.27,0.02,0.04,0.39,0.02,0.29,0.05,0.13,0,12.8,4.72,5.35,0,0,0.1,0,0.49,0.75,0.39,0.64,0.35
1901-Calkins.txt,1900,1901,Calkins,134531,90.87,50.5,29.24,43.46,28.5,27.34,82.89,51.95,9.09,3.3,0.53,1.11,0.05,0.86,0.76,5.79,10.1,16.2,6.85,3.62,7.27,1.3,10.23,5.84,3.22,1.34,1.47,2.46,4.01,2.35,1.38,0.4,0.27,0.27,5.56,0.07,0.11,0.12,0.88,15.83,4.6,1.78,0.79,3.75,2.41,4.75,5.09,1.98,0.58,1.08,2.35,1.49,0.58,0.03,0.28,4.59,1.89,0.84,1.32,0.51,0.36,1.64,7.24,0.88,9.48,1.15,5.28,3.06,1.78,0.43,0.1,0.17,0.3,0.05,0.21,0.01,0.02,0.08,0.11,0,16.76,3.52,9.73,0,0,0.05,0.01,1.03,0.5,1.5,0.43,0.01
1904-Angell.txt,1900,1904,Angell,114508,89.77,71.03,38.37,42.52,24.68,28.19,83.48,52.65,10.64,4.44,0.19,3.19,0.01,0.37,0.67,6.2,9.43,16.77,6.82,4.41,6.24,0.82,10.67,5.8,3.09,2.05,1.17,2.96,3.95,2.34,1.42,0.47,0.21,0.23,6.73,0.05,0.08,0.03,0.43,16.43,4.93,2.41,1.06,3.78,2.93,3.38,3.62,1.16,0.54,0.83,1.98,1.21,0.59,0.05,0.23,7.22,3.8,1.2,1.54,0.76,0.48,1.63,7.6,1.18,12.15,1.53,6.77,3.86,1.65,0.35,0.06,0.22,0.1,0.05,0.13,0.01,0.02,0.05,0.06,0,12.07,4.22,6.78,0,0,0.04,0,0.38,0.29,0.12,0.22,0.02
1904-Murray.txt,1900,1904,Murray,125551,93.01,51.8,29.77,48.82,28.92,27.35,84.49,54.23,9.4,2.42,0.17,0.89,0.03,0.49,0.84,6.98,10.68,17.74,7.76,4.25,5.83,1.02,11.23,6.22,3.56,1.87,0.86,2.66,4.36,2.71,1.47,0.29,0.23,0.28,4.88,0.02,0.09,0.07,0.66,15.86,4.26,2.42,0.97,3.86,2.38,4.15,3.95,1.05,0.54,1.44,2.69,1.43,0.86,0.06,0.37,4.84,1.44,1.08,1.72,0.63,0.34,1.95,7.72,0.97,10.68,1.08,6.08,3.45,1.94,0.54,0.05,0.14,0.16,0.04,0.23,0.01,0.02,0.09,0.11,0,10.28,3.48,5.94,0,0,0.02,0,0.23,0.28,0.16,0.16,0.01
1905-Thorndike.txt,1900,1905,Thorndike,70462,93.36,51.45,35.83,44.22,24.17,23.26,85.13,52.34,7.88,2.9,0.4,0.86,0.17,0.64,0.84,4.97,10.38,17.31,7.01,3.61,7.55,1.09,11.74,6.23,3.36,1.63,1.76,3,3.82,2.31,1.3,0.44,0.22,0.29,5.23,0.09,0.05,0.09,0.87,16.19,4.62,2.58,1.05,3.99,1.99,4.39,4.22,1.19,0.49,1.61,2.66,1.66,0.77,0.12,0.3,5.35,1.56,1.16,2.12,0.67,0.32,1.93,7.56,1.16,11.1,1.72,6.37,2.97,2.51,0.48,0.1,0.22,0.08,0.03,0.24,0.01,0.1,0.05,0.09,0,12.4,4.26,5.74,0,0,0.09,0.03,0.37,0.15,1.02,0.75,0.02
