underlying_symbol,quote_date,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size_1545,bid_1545,ask_size_1545,ask_1545,underlying_bid_1545,underlying_ask_1545,bid_size_eod,bid_eod,ask_size_eod,ask_eod,underlying_bid_eod,underlying_ask_eod,vwap,open_interest,delivery_code
IBM,2013-05-02,IBM,2013-05-03,135.000,C,0.0000,0.0000,0.0000,0.0000,0,191,64.7500,96,68.0000,202.1200,202.1300,42,64.9000,21,68.4500,202.3200,202.3300,0.0000,0,
IBM,2013-05-02,IBM,2013-05-03,135.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,482,0.0300,202.1200,202.1300,0,0.0000,325,0.0300,202.3200,202.3300,0.0000,0,
IBM,2013-05-02,IBM,2013-05-03,140.000,C,0.0000,0.0000,0.0000,0.0000,0,107,59.9500,33,62.8000,202.1200,202.1300,35,60.0500,33,63.0500,202.3200,202.3300,0.0000,0,
IBM,2013-05-02,IBM,2013-05-03,140.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,490,0.0300,202.1200,202.1300,0,0.0000,327,0.0300,202.3200,202.3300,0.0000,0,
IBM,2013-05-02,IBM,2013-05-03,145.000,C,0.0000,0.0000,0.0000,0.0000,0,117,54.8500,127,57.9000,202.1200,202.1300,93,54.9000,21,57.9000,202.3200,202.3300,0.0000,0,
IBM,2013-05-02,IBM,2013-05-03,145.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,484,0.0300,202.1200,202.1300,0,0.0000,328,0.0300,202.3200,202.3300,0.0000,0,
IBM,2013-05-02,IBM,2013-05-03,150.000,C,0.0000,0.0000,0.0000,0.0000,0,139,49.8500,86,53.0000,202.1200,202.1300,103,49.9000,33,53.0500,202.3200,202.3300,0.0000,0,
IBM,2013-05-02,IBM,2013-05-03,150.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,370,0.0300,202.1200,202.1300,0,0.0000,232,0.0300,202.3200,202.3300,0.0000,0,
IBM,2013-05-02,IBM,2013-05-03,155.000,C,0.0000,0.0000,0.0000,0.0000,0,133,44.7000,96,48.0000,202.1200,202.1300,135,44.9000,33,48.0500,202.3200,202.3300,0.0000,0,
IBM,2013-05-02,IBM,2013-05-03,155.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,364,0.0300,202.1200,202.1300,0,0.0000,232,0.0300,202.3200,202.3300,0.0000,0,
IBM,2013-05-02,IBM,2013-05-03,160.000,C,0.0000,0.0000,0.0000,0.0000,0,121,39.7000,86,43.0000,202.1200,202.1300,32,39.9000,33,43.0500,202.3200,202.3300,0.0000,0,
IBM,2013-05-02,IBM,2013-05-03,160.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,435,0.0300,202.1200,202.1300,0,0.0000,296,0.0300,202.3200,202.3300,0.0000,0,
IBM,2013-05-02,IBM,2013-05-03,165.000,C,0.0000,0.0000,0.0000,0.0000,0,194,34.7000,33,38.0500,202.1200,202.1300,103,34.9000,33,38.0500,202.3200,202.3300,0.0000,0,
IBM,2013-05-02,IBM,2013-05-03,165.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,364,0.0300,202.1200,202.1300,0,0.0000,229,0.0300,202.3200,202.3300,0.0000,0,
IBM,2013-05-02,IBM,2013-05-03,170.000,C,0.0000,0.0000,0.0000,0.0000,0,183,29.7000,86,32.3500,202.1200,202.1300,32,30.0500,33,33.0500,202.3200,202.3300,0.0000,0,
IBM,2013-05-02,IBM,2013-05-03,170.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,487,0.0300,202.1200,202.1300,0,0.0000,312,0.0300,202.3200,202.3300,0.0000,127,
IBM,2013-05-02,IBM,2013-05-03,175.000,C,0.0000,0.0000,0.0000,0.0000,0,42,26.9000,16,27.3000,202.1200,202.1300,50,27.0000,38,27.6500,202.3200,202.3300,0.0000,17,
IBM,2013-05-02,IBM,2013-05-03,175.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,480,0.0300,202.1200,202.1300,0,0.0000,314,0.0300,202.3200,202.3300,0.0000,127,
IBM,2013-05-02,IBM,2013-05-03,180.000,C,21.9400,21.9400,21.9400,21.9400,1,26,22.0000,62,22.3000,202.1200,202.1300,44,22.0500,92,22.6000,202.3200,202.3300,21.9400,113,
IBM,2013-05-02,IBM,2013-05-03,180.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,456,0.0300,202.1200,202.1300,0,0.0000,305,0.0300,202.3200,202.3300,0.0000,759,
IBM,2013-05-02,IBM,2013-05-03,185.000,C,15.7200,16.9700,15.7200,16.9700,12,320,17.0000,306,17.3000,202.1200,202.1300,26,17.2000,169,17.5500,202.3200,202.3300,15.9175,78,
IBM,2013-05-02,IBM,2013-05-03,185.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,12,0.0200,202.1200,202.1300,0,0.0000,12,0.0200,202.3200,202.3300,0.0000,977,
IBM,2013-05-02,IBM,2013-05-03,190.000,C,10.6000,11.9400,10.6000,11.9000,203,94,12.0500,286,12.2500,202.1200,202.1300,7,12.2500,142,12.4500,202.3200,202.3300,10.8005,1020,
IBM,2013-05-02,IBM,2013-05-03,190.000,P,0.0300,0.0300,0.0200,0.0200,133,11,0.0200,15,0.0200,202.1200,202.1300,11,0.0200,227,0.0300,202.3200,202.3300,0.0220,1096,
IBM,2013-05-02,IBM,2013-05-03,195.000,C,5.2000,7.2500,5.2000,7.2500,350,36,7.1000,445,7.3000,202.1200,202.1300,84,7.2500,215,7.5000,202.3200,202.3300,6.7151,1404,
IBM,2013-05-02,IBM,2013-05-03,195.000,P,0.0700,0.1100,0.0300,0.0300,377,105,0.0300,203,0.0500,202.1200,202.1300,41,0.0300,309,0.0500,202.3200,202.3300,0.0690,1895,
IBM,2013-05-02,IBM,2013-05-03,200.000,C,1.5000,2.5200,0.8600,2.5200,1503,120,2.2700,1,2.3200,202.1200,202.1300,1,2.4100,50,2.5800,202.3200,202.3300,1.6479,1899,
IBM,2013-05-02,IBM,2013-05-03,200.000,P,1.0000,1.0100,0.1500,0.1500,1667,10,0.2100,17,0.2100,202.1200,202.1300,183,0.1300,5,0.1600,202.3200,202.3300,0.4580,1980,
IBM,2013-05-02,IBM,2013-05-03,205.000,C,0.1200,0.1200,0.0500,0.0500,1061,61,0.0500,251,0.0700,202.1200,202.1300,42,0.0500,230,0.0800,202.3200,202.3300,0.0674,2679,
IBM,2013-05-02,IBM,2013-05-03,205.000,P,4.7000,5.1000,2.6900,2.6900,116,119,2.8900,407,3.1000,202.1200,202.1300,210,2.6100,140,2.8700,202.3200,202.3300,3.4665,709,
IBM,2013-05-02,IBM,2013-05-03,210.000,C,0.0200,0.0200,0.0100,0.0100,14,0,0.0000,179,0.0100,202.1200,202.1300,0,0.0000,146,0.0100,202.3200,202.3300,0.0107,1188,
IBM,2013-05-02,IBM,2013-05-03,210.000,P,9.1500,9.1500,8.0500,8.0500,3,136,7.8000,12,8.0000,202.1200,202.1300,53,7.5000,81,7.8500,202.3200,202.3300,8.7833,226,
IBM,2013-05-02,IBM,2013-05-03,215.000,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,102,0.0100,202.1200,202.1300,0,0.0000,82,0.0100,202.3200,202.3300,0.0000,823,
IBM,2013-05-02,IBM,2013-05-03,215.000,P,0.0000,0.0000,0.0000,0.0000,0,134,12.3500,87,14.6000,202.1200,202.1300,75,11.3000,2,14.3500,202.3200,202.3300,0.0000,20,
IBM,2013-05-02,IBM,2013-05-03,220.000,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,514,0.0300,202.1200,202.1300,0,0.0000,333,0.0300,202.3200,202.3300,0.0000,669,
IBM,2013-05-02,IBM,2013-05-03,220.000,P,0.0000,0.0000,0.0000,0.0000,0,168,17.6500,111,18.5000,202.1200,202.1300,47,17.4000,73,18.5000,202.3200,202.3300,0.0000,11,
IBM,2013-05-02,IBM,2013-05-03,225.000,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,133,0.0100,202.1200,202.1300,0,0.0000,112,0.0100,202.3200,202.3300,0.0000,347,
IBM,2013-05-02,IBM,2013-05-03,225.000,P,0.0000,0.0000,0.0000,0.0000,0,97,22.1000,79,25.0000,202.1200,202.1300,21,22.1000,62,25.0000,202.3200,202.3300,0.0000,15,
IBM,2013-05-02,IBM,2013-05-03,230.000,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,22,0.0100,202.1200,202.1300,0,0.0000,22,0.0100,202.3200,202.3300,0.0000,710,
IBM,2013-05-02,IBM,2013-05-03,230.000,P,0.0000,0.0000,0.0000,0.0000,0,117,27.5000,69,30.0000,202.1200,202.1300,21,26.6500,62,30.0000,202.3200,202.3300,0.0000,0,
IBM,2013-05-02,IBM,2013-05-03,235.000,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,500,0.0300,202.1200,202.1300,0,0.0000,328,0.0300,202.3200,202.3300,0.0000,0,
IBM,2013-05-02,IBM,2013-05-03,235.000,P,0.0000,0.0000,0.0000,0.0000,0,96,32.3000,76,35.0000,202.1200,202.1300,2,31.0000,46,34.6000,202.3200,202.3300,0.0000,0,
IBM,2013-05-02,IBM,2013-05-03,240.000,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,227,0.0200,202.1200,202.1300,0,0.0000,144,0.0200,202.3200,202.3300,0.0000,31,
IBM,2013-05-02,IBM,2013-05-03,240.000,P,0.0000,0.0000,0.0000,0.0000,0,117,37.1500,69,40.0000,202.1200,202.1300,21,37.1500,62,40.0000,202.3200,202.3300,0.0000,0,
IBM,2013-05-02,IBM,2013-05-03,245.000,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,473,0.0300,202.1200,202.1300,0,0.0000,328,0.0300,202.3200,202.3300,0.0000,0,
IBM,2013-05-02,IBM,2013-05-03,245.000,P,0.0000,0.0000,0.0000,0.0000,0,63,42.1000,59,43.1500,202.1200,202.1300,21,42.1000,44,44.5500,202.3200,202.3300,0.0000,0,
IBM,2013-05-02,IBM,2013-05-03,250.000,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,368,0.0300,202.1200,202.1300,0,0.0000,230,0.0300,202.3200,202.3300,0.0000,0,
IBM,2013-05-02,IBM,2013-05-03,250.000,P,0.0000,0.0000,0.0000,0.0000,0,57,47.1000,69,50.0000,202.1200,202.1300,21,47.1000,62,50.0000,202.3200,202.3300,0.0000,0,
IBM,2013-05-02,IBM,2013-05-03,260.000,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,367,0.0300,202.1200,202.1300,0,0.0000,229,0.0300,202.3200,202.3300,0.0000,0,
IBM,2013-05-02,IBM,2013-05-03,260.000,P,0.0000,0.0000,0.0000,0.0000,0,57,57.2500,79,60.0000,202.1200,202.1300,21,57.2500,62,60.0000,202.3200,202.3300,0.0000,0,
IBM,2013-05-02,IBM,2013-05-03,270.000,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,370,0.0300,202.1200,202.1300,0,0.0000,230,0.0300,202.3200,202.3300,0.0000,0,
IBM,2013-05-02,IBM,2013-05-03,270.000,P,0.0000,0.0000,0.0000,0.0000,0,57,67.1500,69,70.0000,202.1200,202.1300,21,67.1500,42,70.0000,202.3200,202.3300,0.0000,0,
IBM,2013-05-02,IBM,2013-05-10,140.000,C,0.0000,0.0000,0.0000,0.0000,0,2,59.7500,67,62.8000,202.1200,202.1300,114,59.9000,54,62.8000,202.3200,202.3300,0.0000,0,
IBM,2013-05-02,IBM,2013-05-10,140.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,682,0.0300,202.1200,202.1300,0,0.0000,509,0.0300,202.3200,202.3300,0.0000,0,
IBM,2013-05-02,IBM,2013-05-10,145.000,C,0.0000,0.0000,0.0000,0.0000,0,78,55.1000,56,57.8000,202.1200,202.1300,44,55.1000,42,57.8000,202.3200,202.3300,0.0000,0,
IBM,2013-05-02,IBM,2013-05-10,145.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,677,0.0300,202.1200,202.1300,0,0.0000,513,0.0300,202.3200,202.3300,0.0000,0,
IBM,2013-05-02,IBM,2013-05-10,150.000,C,0.0000,0.0000,0.0000,0.0000,0,2,49.7500,26,53.0500,202.1200,202.1300,124,49.9000,26,53.0500,202.3200,202.3300,0.0000,0,
IBM,2013-05-02,IBM,2013-05-10,150.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,676,0.0300,202.1200,202.1300,0,0.0000,472,0.0300,202.3200,202.3300,0.0000,0,
IBM,2013-05-02,IBM,2013-05-10,155.000,C,0.0000,0.0000,0.0000,0.0000,0,162,44.7500,26,48.0500,202.1200,202.1300,1,44.9000,26,48.0500,202.3200,202.3300,0.0000,0,
IBM,2013-05-02,IBM,2013-05-10,155.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,133,0.0200,202.1200,202.1300,0,0.0000,122,0.0200,202.3200,202.3300,0.0000,0,
IBM,2013-05-02,IBM,2013-05-10,160.000,C,0.0000,0.0000,0.0000,0.0000,0,66,39.7000,26,43.0500,202.1200,202.1300,61,39.9000,26,43.0500,202.3200,202.3300,0.0000,0,
IBM,2013-05-02,IBM,2013-05-10,160.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,616,0.0400,202.1200,202.1300,0,0.0000,263,0.0400,202.3200,202.3300,0.0000,0,
IBM,2013-05-02,IBM,2013-05-10,165.000,C,0.0000,0.0000,0.0000,0.0000,0,2,34.7500,26,38.0500,202.1200,202.1300,61,34.9000,26,38.0500,202.3200,202.3300,0.0000,0,
IBM,2013-05-02,IBM,2013-05-10,165.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,480,0.0400,202.1200,202.1300,0,0.0000,253,0.0400,202.3200,202.3300,0.0000,0,
IBM,2013-05-02,IBM,2013-05-10,170.000,C,0.0000,0.0000,0.0000,0.0000,0,40,31.7500,12,32.3000,202.1200,202.1300,38,31.9500,26,32.7500,202.3200,202.3300,0.0000,6,
IBM,2013-05-02,IBM,2013-05-10,170.000,P,0.0300,0.0300,0.0300,0.0300,8,0,0.0000,520,0.0400,202.1200,202.1300,0,0.0000,379,0.0400,202.3200,202.3300,0.0300,17,
IBM,2013-05-02,IBM,2013-05-10,175.000,C,0.0000,0.0000,0.0000,0.0000,0,20,24.7000,50,28.2000,202.1200,202.1300,53,24.9000,32,28.2000,202.3200,202.3300,0.0000,0,
IBM,2013-05-02,IBM,2013-05-10,175.000,P,0.0300,0.0500,0.0300,0.0500,163,173,0.0200,43,0.0400,202.1200,202.1300,161,0.0200,194,0.0500,202.3200,202.3300,0.0480,40,
IBM,2013-05-02,IBM,2013-05-10,180.000,C,0.0000,0.0000,0.0000,0.0000,0,40,21.7500,41,22.5000,202.1200,202.1300,38,21.9500,37,22.6500,202.3200,202.3300,0.0000,5,
IBM,2013-05-02,IBM,2013-05-10,180.000,P,0.0000,0.0000,0.0000,0.0000,0,131,0.0300,374,0.0600,202.1200,202.1300,98,0.0300,220,0.0600,202.3200,202.3300,0.0000,244,
IBM,2013-05-02,IBM,2013-05-10,185.000,C,0.0000,0.0000,0.0000,0.0000,0,13,17.0500,212,17.3000,202.1200,202.1300,147,17.2500,138,17.5500,202.3200,202.3300,0.0000,110,
IBM,2013-05-02,IBM,2013-05-10,185.000,P,0.0700,0.0700,0.0500,0.0500,11,359,0.0300,287,0.0800,202.1200,202.1300,227,0.0300,179,0.0800,202.3200,202.3300,0.0682,312,
IBM,2013-05-02,IBM,2013-05-10,190.000,C,11.7500,12.1500,11.7500,12.1500,3,25,12.0500,224,12.2500,202.1200,202.1300,227,12.2000,147,12.5500,202.3200,202.3300,11.8833,402,
IBM,2013-05-02,IBM,2013-05-10,190.000,P,0.1600,0.1800,0.1000,0.1000,108,204,0.0900,128,0.1200,202.1200,202.1300,136,0.0800,174,0.1200,202.3200,202.3300,0.1486,890,
