Job,Budgeted_Cost,Yearly_Revenue,Current_Profit,Customers
SRPM,,11100,0.02,9
Not PM,,200,,1
PM,7000,1900,0.07,4
PM,2100,900,-0.01,10
SRPM,3000,1300,0.26,3
PM,2300,500,0.02,2
PM,3800,900,0.11,4
PM,1600,400,0.01,3
Not PM,128900,33300,-0.06,2
PM,3500,700,-0.02,5
PM,400,,0.04,1
Not PM,200,,-0.07,4
PMit,1200,200,0.01,2
Not PM,6900,1800,0.03,5
PM,600,,0.11,1
PM,5300,1800,0.01,3
SRPM,2000,100,0.11,2
PM,1400,400,0.08,17
PM,1000,700,0.12,3
Not PM,,,,1
Not PM,,,,1
PM,1400,800,0.04,5
Not PM,50000,7700,0.14,6
SRPM,,,,1
Not PM,23000,8900,0.05,4
PM,11000,1300,0.07,5
PM,1500,200,0.1,11
Not PM,,,,1
Not PM,3500,400,-0.01,7
Not PM,,,0.36,4
SRPM,,,-1,4
Not PM,7800,900,-0.21,18
PM,2000,300,0.06,14
PM,100,,0.43,3
Not PM,,,,2
SRPM,500,300,,6
PM,200,200,0.08,2
Not PM,8600,700,0.05,2
Not PM,400,100,0.08,3
SRPM,1900,300,0.07,1
SRPM,,100,-0.03,1
PM,600,400,0.08,1
SRPM,15300,6500,0.12,1
SRPM,1500,1000,-0.14,6
SRPM,1300,1300,0.01,4
Not PM,1500,600,0.08,3
PM,400,200,0.02,9
PM,4200,800,0.1,5
Not PM,100,,0.08,1
Not PM,211900,800,-0.36,4
Not PM,500,300,0.1,2
TSKM,,,,1
PM,800,300,0.06,7
PM,3700,2500,0.12,2
Not PM,,,-1,1
SRPM,3200,700,0.01,3
SRPM,3800,300,0.03,2
PM,100,,0.18,2
Not PM,200,,0.09,2
Not PM,17500,2700,,4
SRPM,13000,1800,0.12,5
SRPM,500,100,0.14,2
SRPM,10100,,-0.01,2
Not PM,3300,1200,0.03,5
SRPM,23200,700,0.01,4
SRPM,1900,700,0.07,10
SRPM,3500,1500,-0.91,7
SRPM,1200,500,0.05,6
SRPM,14900,3600,0.1,11
Not PM,1100,800,0.05,11
SRPM,400,200,0.07,8
PM,,,0.09,3
Not PM,37100,,-1,2
Not PM,6000,3100,0.04,1
PM,400,100,0.02,5
PM,,,,1
Not PM,101000,27600,0.04,9
SRPM,600,200,0.08,2
SRPM,1800,-100,-0.19,3
SRPM,21500,1900,0.14,1
SRPM,2300,,0.08,6
PM,100,,0.1,1
PM,4600,1200,0.03,7
Not PM,109600,6600,-0.05,2
SRPM,1100,200,0.11,4
SRPM,2400,1100,0.02,5
SRPM,1800,100,0.25,2
SRPM,5500,2000,0.17,3
Not PM,3000,700,0.11,4
PM,,,0.13,3
PM,500,100,0.09,7
SRPM,3900,2400,0.15,4
SRPM,33500,700,0.09,5
SRPM,6800,1700,0.02,4
SRPM,5100,1100,0.05,3
PM,3100,1200,0.02,6
PM,1100,300,0.06,2
Not PM,96100,7500,0.02,4
SRPM,1600,700,0.04,5
SRPM,200,100,-0.2,2
PM,300,100,0.14,4
PM,3300,900,-0.08,8
SRPM,3700,1100,0.03,6
PM,1400,1100,0.07,3
Not PM,,,-1,1
Not PM,,,0.83,2
PM,3400,500,0.01,12
SRPM,,,,1
SRPM,2400,200,0.08,4
PM,300,100,0.07,4
Not PM,1700,700,0.16,4
PM,300,100,-0.42,6
Not PM,,,,1
PM,200,100,0.14,2
SRPM,1800,700,0.01,3
PMit,1300,,0.08,4
SRPM,600,300,0.07,7
PM,900,100,0.07,2
SRPM,1000,100,0.07,3
PM,400,100,,7
SRPM,,,,1
PM,1300,700,0.06,8
SRPM,3400,800,-0.11,6
SRPM,100,,-0.12,3
SRPM,3400,500,0.05,1
Not PM,2600,,-0.09,2
Not PM,,,,1
Not PM,3200,600,0.04,4
SRPM,4000,2200,0.05,4
PM,,,,2
PM,,,,1
SRPM,700,200,0.07,5
SRPM,11900,1600,0.06,3
PM,3000,600,0.07,3
PM,100,,0.07,1
SRPM,12600,3600,0.09,6
PM,5000,1300,0.18,2
Not PM,100,,0.1,1
Not PM,3500,300,0.16,1
SRPM,2000,1100,0.11,8
Not PM,2100,1000,0.06,5
PM,,,,2
PM,,,0.15,4
TSKM,,,,1
SRPM,7200,1900,0.08,10
SRPM,15200,1900,0.02,17
PM,1300,500,0.13,5
Not PM,,,0.18,3
PM,1500,500,0.25,1
PM,300,,0.08,4
PM,800,300,-0.03,5
PM,800,300,0.17,6
PM,1100,500,0.01,5
SRPM,5400,1500,0.1,5
SRPM,,,0.06,1
PM,,,,1
SRPM,100,,0.02,5
SRPM,42100,3500,0.04,5
PM,400,100,0.13,2
SRPM,100,,0.02,2
PM,2100,800,0.06,8
SRPM,4800,1400,0.03,8
Not PM,8100,1400,0.05,4
SRPM,6900,600,-0.14,9
PM,,,,2
SRPM,3100,1500,0.04,16
PM,400,400,0.1,1
Not PM,900,100,0.05,2
SRPM,1700,900,0.03,5
SRPM,1200,300,-0.04,6
Not PM,,,,2
PM,700,400,0.08,2
PM,4500,1800,0.04,5
PM,1200,800,0.03,4
PM,500,100,0.04,4
PM,100,100,0.08,5
SRPM,900,100,0.15,2
Not PM,800,,0.31,1
SRPM,18900,7700,0.74,6
Not PM,89000,4500,-0.03,1
PM,100,,0.07,4
PM,100,100,-0.02,7
PM,100,100,0.1,1
SRPM,8200,800,0.05,10
Not PM,2200,100,,2
SRPM,3800,1300,0.11,5
SRPM,2400,200,-0.06,3
SRPM,12300,8000,0.16,1
PM,1400,400,0.03,11
SRPM,2600,200,-0.04,3
SRPM,3800,1000,-0.07,4
PM,400,100,-0.08,10
Not PM,600,100,0.08,1
Not PM,100,100,-0.1,1
SRPM,13200,3400,,9
Not PM,200,,0.04,2
PM,200,200,0.08,4
SRPM,2900,900,0.05,5
PM,500,300,0.13,1
PM,1700,1700,0.09,1
Not PM,,,,1
SRPM,5900,1500,0.14,13
SRPM,3600,1500,0.07,1
SRPM,100,,0.41,3
PM,3100,400,-0.03,3
SRPM,8300,2100,0.14,7
PM,700,200,0.1,2
PM,800,300,0.09,2
PM,2000,300,0.09,6
PM,200,200,0.17,2
Not PM,100,,0.02,3
PM,1100,300,0.01,8
SRPM,7200,700,,4
SRPM,16100,1800,0.03,6
SRPM,4500,800,0.15,1
PM,1900,100,0.06,3
SRPM,300,100,-0.01,5
Not PM,19900,1800,-0.04,1
SRPM,10700,2800,0.11,1
PM,100,,0.04,5
SRPM,14500,200,-0.02,1
SRPM,1300,1000,0.06,3
Not PM,8600,3600,-0.04,3
PM,2000,1400,0.04,8
SRPM,3000,1900,0.07,15
Not PM,,500,-0.29,2
Not PM,1000,500,0.04,4
TSKM,,,,1
SRPM,1100,100,0.1,2
PM,300,100,0.1,13
Not PM,,,,1
SRPM,2700,1100,0.05,12
PM,18300,2700,0.09,2
PM,2200,800,0.08,2
Not PM,14000,,0.06,2
Not PM,2100,,0.12,1
SRPM,300,100,-0.59,3
Not PM,500,,0.13,1
Not PM,,,-1,1
PM,5200,500,0.03,3
PM,400,100,0.07,2
SRPM,,,0.15,4
PM,1900,400,0.2,2
PM,2500,900,0.04,9
PM,2800,400,0.06,4
PM,600,100,0.09,4
SRPM,700,,0.06,2
SRPM,800,800,0.1,1
SRPM,1600,500,0.04,7
SRPM,4300,200,-0.3,5
TSKM,,,,1
SRPM,3100,1400,0.04,5
Not PM,,,,1
SRPM,6600,1100,0.09,1
SRPM,5400,1200,0.1,7
SRPM,2600,1000,0.1,3
Not PM,,,,2
PM,2500,200,0.12,4
PM,100,,-0.24,4
SRPM,1800,300,0.07,3
PM,4200,600,0.02,3
SRPM,3500,1200,0.05,5
PM,2000,200,0.06,5
PM,1900,600,0.02,6
PM,100,,0.1,3
PM,500,,-0.12,4
PM,1600,300,0.16,2
PM,11000,1300,0.06,2
SRPM,10500,2800,0.05,8
PM,1000,300,0.05,6
Not PM,1200,600,-0.12,1
SRPM,3100,,0.06,4
SRPM,4000,800,0.03,3
Not PM,100,,0.03,2
Not PM,,,,5
PM,1500,800,0.06,9
PM,1300,800,0.19,1
SRPM,,,,1
SRPM,6500,700,0.05,5
SRPM,1100,300,0.07,9
SRPM,4100,1400,-0.01,1
Not PM,1800,500,0.07,1
Not PM,3200,,-0.01,5
Not PM,3100,600,0.08,1
PM,1400,300,0.08,2
SRPM,4600,100,0.02,5
PM,1200,100,-0.15,5
SRPM,3200,1000,0.04,4
PM,800,300,0.05,5
PMit,500,200,0.02,2
PM,3300,2200,0.05,5
SRPM,7100,1400,0.08,6
Not PM,100,,0.06,1
SRPM,700,400,-0.06,13
Not PM,900,,0.07,2
PMit,1400,300,0.05,1
SRPM,900,300,0.07,6
SRPM,9200,1300,0.09,4
SRPM,8900,1600,0.06,2
PM,,,0.03,2
PM,1000,500,-0.23,9
PM,1100,100,-0.02,6
SRPM,900,300,-0.03,9
SRPM,3300,1500,0.08,9
PM,,,0.12,2
Not PM,,,-1,1
PM,,,,1
PM,500,200,0.07,2
PM,700,300,0.08,3
PM,,,,1
PM,700,200,0.08,3
PM,100,,,2
PM,1500,700,0.06,3
Not PM,,,,1
SRPM,1100,800,0.1,11
PM,,,0.04,2
PM,600,200,0.08,2
SRPM,4800,1000,0.03,6
Not PM,1900,500,0.12,2
Not PM,8400,,0.31,3
SRPM,,,-0.11,2
PM,2500,500,0.11,6
PM,,,0.11,1
PM,2200,700,,7
SRPM,2900,600,0.12,5
Not PM,1100,200,0.08,4
Not PM,,,,1
PM,1700,100,0.11,2
Not PM,8400,-100,0.11,1
PM,,,,1
SRPM,39600,8400,0.07,1
Not PM,,,-1,1
PM,1000,500,0.08,6
SRPM,16900,2400,0.05,2
Not PM,,,,1
PMit,4800,600,0.08,2
TSKM,,,,1
